Need,Tele
DicALLUIForms,HitALLUIPlace
_DicALLUIForms,_HitALLUIPlace
Sta,Rub
StaCurrentUIForms,RubVoyagerUIPlace
_StaCurrentUIForms,_RubVoyagerUIPlace
DicCurrentShowUIForms,HitVoyagerBindUIPlace
_DicCurrentShowUIForms,_HitVoyagerBindUIPlace
WaitUIForms,MimeUIPlace
_WaitUIForms,_MimeUIPlace
Transfrom,Locomotor
TraCanvasTransfrom,GarGrottoLocomotor
_TraCanvasTransfrom,_GarGrottoLocomotor
TraNormal,GarRecess
_TraNormal,_GarRecess
Fixed,Twice
TraFixed,GarTwice
_TraFixed,_GarTwice
Pop,Eke
TraPopUp,GarEkeOf
_TraPopUp,_GarEkeOf
_Top,_Cup
TraUIScripts,GarUIFlatter
_TraUIScripts,_GarUIFlatter
TraUICamera,GarUIDecade
_TraUICamera,_GarUIDecade
PanelName,SwearStew
PanelNameList,SwearStewTrip
uiFormName,MeModeStew
Params,Warmth
uiFormParams,MeModeWarmth
Clear,Heavy
Reverse,Enlarge
IsClearReverseChange,UpHeavyEnlargeUranus
CountdownText,FoodstuffMoss
openPanelList,UrgeSwearTrip
cb,Or
ItemPrefab,AfarQuiver
ParentContainer,QuasarAttention
position,Relation
start_position,Ahead_Relation
end,Tan
end_position,Tan_Relation
Serial,Virgin
SerialNum,VirginLad
Point,Perry
StartPoint,BadgePoint
EndPoint,RidPerry
itemValue,SealDodge
EndPosition,RidCitation
CollectItemUI,DynamicAfarUI
collect,Gaseous
Sequence,Instinct
collectSequence,GaseousInstinct
collectEffect,GaseousGuinea
call,Topi
callBackNum,TopiSortLad
received,Pinpoint
Callback,Variance
receivedCallbackNum,PinpointVarianceLad
collectComponentDict,GaseousPrimitiveMate
spacing,Faction
Safe,Welt
LastSafeArea,BulkWeltPeck
ProgressImage,ManeuverFifth
ProgressText,ManeuverMoss
Tab,Zoo
TabName,ZooStew
tab,Bee
tabButton,BeeGibbon
ActiveIcon,RefutePart
Inactive,Inventor
InactiveIcon,InventorPart
items,Peace
Animation,Steamship
Obj,Bur
ActiveAnimationObj,RefuteSteamshipBur
ActiveBG,RefuteBG
InactiveBG,InventorBG
ActiveColor,RefuteEager
InactiveColor,InventorEager
ActiveTab,RefuteZoo
activeTabName,CavernZooStew
Panels,Differ
tabPanels,BeeDiffer
openCallback,UrgeVariance
mask,Wait
mypageview,Harmonious
rect,Cash
pos,Ail
posList,AilTrip
isDrag,ByWaxy
stop,Role
stopMove,RoleSlum
Horizontal,Successive
targetHorizontal,PotatoSuccessive
startDragHorizontal,AheadWaxySuccessive
smooting,Catalyze
sensitivity,Counterpart
On,Dy
Page,Tale
OnPageChange,DyTaleUranus
currentPageIndex,MortiseTaleDodge
Cell,Seek
itemCell,SealSeek
scroll,Autumn
Rect,Soul
scrollRect,AutumnSoul
content,Thrifty
totalWidth,MarchAgree
totalHeight,MarchMilieu
visible,Replace
visibleCount,ReplaceWaist
Clac,From
isClac,ByFrom
startIndex,AheadDodge
lastIndex,FeedDodge
itemHeight,SealMilieu
itemList,SealTrip
visibleList,ReplaceTrip
all,Hot
allList,allTrip
AutoCollectSwitch,TautDynamicFactor
Volmue,Marine
EffectVolmue,GuineaMarine
Frames,Impart
Ignore,Spurge
IgnoreTimeScale,SpurgeMoldFifth
Loop,Bias
currentCount,MortiseWaist
_currentCount,_MortiseWaist
currentRevenue,MortiseMachine
_currentRevenue,_MortiseMachine
lastPlayTimeCounter,FeedHaulMoldShudder
counter,Hominid
counter101,Hominid101
counter102,Hominid102
counter103,Hominid103
pause,Vague
pauseTimeInterstitial,VagueMoldExpansionist
Package,Trigger
PackageName,TriggerStew
AdjustTracker,ShroudDistend
Ready,Tally
AdjustTracker_Ready,ShroudDistend_Tally
Request,Portend
RequestId,PortendAt
Headers,Physics
OnSuccess,DyDepress
OnFail,DyGobi
Retry,Brand
RetryCount,BrandWaist
Timeout,Expanse
Running,Monarch
IsRunning,UpMonarch
Web,Ion
WebRequest,IonPortend
Raw,Our
RawData,OurLine
GetNetWorkGetListCount,FarToeKeelFarTripWaist
GetNetWorkPostListCount,FarToeKeelWhimTripWaist
CurrentIndex,VoyagerDodge
StartTime,BadgeMold
EndTime,RidMold
AttendTimes,LordlyBrook
maxLevel,WeeDodge
gold,Pool
diamond,Shatter
unlimit,Outcrop
unlimit_health,Outcrop_Carpet
consecutive,Anthocyanin
wins,Limb
consecutive_wins,Anthocyanin_Limb
remove,Mildly
remove_ad,remove_It
gb,On
skin_gb_1,Dash_gb_1
goldleaf,Gravitas
recharge,Paralyze
interval,Collapse
health_recharge_interval,Carpet_Paralyze_Collapse
cost,Seem
health_cost,Carpet_Seem
lv,He
strategy,Fountain
Collection,Consultant
last_lv_strategy_Collection,Feed_lv_Fountain_Consultant
Google,Revive
Public,Engage
GooglePublicKey,ReviveEngageCan
Apple,Mound
Cert,Pipe
AppleRootCert,MoundRootPipe
DailyGift,ScoreWhip
Remove,Steady
RemoveAd,SteadyIt
GoldBox,CastTug
Treasure,Clearing
EndlessTreasure,QuitterClearing
Star,Ford
RankStar,LoveFord
ItemNumStr,AfarLadSow
unlocked,Plethora
TabButton,ZooGibbon
DataCount,LineWaist
Line,Cite
LineHeight,CiteMilieu
PopShow,EkeBind
Hide,Send
PopHide,EkeSend
ChangeNumber,UranusFormal
Best,Hour
GoldMoveBest,CastSlumHour
Klondike,Freezing
KlondikeGetGold,FreezingFarCast
Scroll,Quasar
HorizontalScroll,SuccessiveScroll
WinPanelShow,UrnSwearBind
WinStar,UrnFord
AddScore,PegDense
OpenPanel,PlusSwear
Print,Ahead
Merge,Moist
get,Hue
getCameraWidth,HueDecadeAgree
getCameraHeight,HueDecadeMilieu
World,Niche
getWorldPoint,HueNichePerry
Nearest,Artisan
GetNearestGameObject,FarArtisanKickPepper
Angle,Sight
PointToAngle,PerryBeSight
Angle180To360,Sight180Be360
Unity,Serve
Direction,Fluctuate
GetUnityDirection,FarServeDirection
True,Glen
Size,City
getTextureTrueSize,HueRoadwayGlenCity
getSpriteSize,HueReviewCity
Touch,Floor
getTouchPosition,HueFloorCitation
Weight,Revert
getWeightIndex,HueRevertDodge
Random,Saline
GetRandomSequence,FarSalineInstinct
Dictionary,Occupation
StringToDictionary,StenchBeOccupation
DictionaryToString,OccupationBeStench
Diff,Cope
DayDateDiff,TipWardCope
Sec,Age
SecDateDiff,SecWardCope
DateDiff,WardCope
At,Or
GetPosAtText,FarSumAtMoss
By,So
DistanceByArea,EvidenceByPeck
Encrypt,Another
EncryptDES,AnotherDES
Decrypt,Factory
DecryptDES,FactoryDES
Notification,Construction
Permission,Invariably
RequestNotificationPermission,PortendConstructionInvariably
Initialize,Simplistic
Notifications,Preoccupation
InitializeNotifications,SimplisticPreoccupation
ClearNotification,HeavyConstruction
Create,Dugout
CreateNotificationChannel,DugoutConstructionPronoun
Send,Leaf
Immediate,Petroleum
SendImmediateNotification,LeafPetroleumConstruction
Schedule,Allegory
ScheduleNotification,AllegoryConstruction
Process,Hemlock
Vertices,Molecule
ProcessVertices,HemlockMolecule
_ProcessVertices,_HemlockMolecule
Set,Cud
And,Bus
SetNewPosAndUV,CudGunSumBusUV
_SetNewPosAndUV,_CudGunSumBusUV
Min,Bay
_Min,_Bay
_Max,_Gel
DelayIE,AwardIE
Stop,Floe
StopDelay,FloeAward
ResetDraggingState,BurstDecisionWidow
Under,China
Mouse,Befit
GetTargetCardUnderMouse,FarLondonKeelChinaMouse
ShowSpecial,BindBriefly
Ani,Lug
ShowSpecialAni,BindBrieflyLug
ShowWheelAni,BindFaithLug
AddMoveCount,PegSlumWaist
GetGameTime,FarKickMold
GetSuitSprite,FarLeapReview
Display,Partner
GetCardDisplayName,FarKeelPartnerStew
GetDownAreaFaceDownCardNum,FarPinkPeckHighPinkKeelLad
For,Hut
ForEvent,HutInuit
GetDownAreaFaceDownCardNum_ForEvent,FarPinkPeckHighPinkKeelLad_HutInuit
GetUpAreaReward,FarOfPeckStarve
GetUpDeckReward,FarOfPramStarve
StartNewGame,BadgeGunKick
CreateCard,DugoutKeel
Filp,Back
UpDeck_Filp,OfPram_Back
FlipDeckCardAnimation,BarbPramKeelSteamship
Recycle,Concert
All,Rot
RecycleAllFaceUpCards,ConcertRotHighOfBrass
GetDraggingCards,FarDecisionBrass
Can,The
CanStackOn,TheRobinDy
MoveCardStack,SlumKeelRobin
Empty,Stash
GetEmptyDownAreaIndexUnderMouse,FarStashPinkPeckDodgeChinaBefit
CanMoveToEmptyDownArea,TheSlumBeStashPinkPeck
MoveCardStackToEmptyDownArea,SlumKeelRobinBeStashPinkPeck
GetUpAreaIndexUnderMouse,FarOfPeckDodgeChinaBefit
CanMoveToUpArea,TheSlumBeOfPeck
CanMoveToUpAreaForRevive,TheSlumBeOfPeckHutGraham
MoveCardToUpArea,SlumKeelBeOfPeck
After,Tulip
CheckFlipAfterMove,CigarBarbTulipSlum
FlipCardAnimation,BarbKeelSteamship
TriggerSpecialGame,DepositBrieflyKick
GetCardObj,FarKeelBur
Find,Seal
FindCardSource,FindKeelIodine
CheckGameEnd,CigarKickRid
CheckWin,CigarUrn
Stuck,Great
IsGameStuck,UpKickGreat
AutoCollect,TautDynamic
Win_AutoCollect,Urn_TautDynamic
AutoMoveCard,TautSlumKeel
AutoMoveCardStack,TautSlumKeelRobin
CheckTipStepA,CigarMayBoatA
CheckTipStepB,CigarMayBoatB
CheckTipStepC,CigarMayBoatC
CheckTipStepD,CigarMayBoatD
Coroutine,Viability
AutoCollectCardsCoroutine,TautDynamicBrassViability
Internal,Disagree
MoveCardToUpAreaInternal,SlumKeelBeOfPeckDisagree
SaveStateForUndo,ShedWidowHutNote
Deep,Host
Copy,Fade
DeepCopyCardDataList,HostFadeKeelLineTrip
DeepCopyCardDataListList,HostFadeKeelLineTripTrip
PlayUndoAnimation,HaulNoteSteamship
FindParentByName,SealQuasarSoStew
UndoFlipCardAnim,NoteBarbKeelTire
RefreshAllCards,BalconyRotBrass
DelayHideMaskAfterAnim,AwardSendVerbTulipTire
CanUndo,TheNote
SaveGame,ShedKick
Load,Rock
LoadGame,RockKick
With,Deny
LoadGameWithAnimation,RockKickDenySteamship
Rebuild,Control
RebuildAreaFromCardUIStates,ControlPeckDukeKeelUIJobber
Try,Hue
TrySmartFlipCard,TryCedarBarbKeel
Swap,Very
Unflipped,Riverbank
SwapUnflippedCard,VeryRiverbankKeel
Any,Era
CanStackOnAnyDownArea,TheRobinDyEraPinkPeck
CanStackOnAnyUpArea,TheRobinDyEraOfPeck
CheckUpAreaRewardedAndCheckSlot,CigarOfPeckComputerBusCigarDish
ReStart,HeBadge
ClearGame,HeavyKick
ReviveCoroutine,GrahamViability
StartNewGame_Guide,BadgeGunKick_Infer
Red,Cod
IsRed,UpCod
Same,Aide
IsSameCard,UpAideKeel
InitGameData,DeafKickLine
Handle,Crayon
Json,Amid
HandleJsonData,CrayonAmidLine
GetGold,FarCast
AddGold,PegCast
GetCash,FarNote
AddCash,PegNote
GetAmazon,FarEntity
AddAmazon,PegEntity
GetScore,FarDense
SetScore,CudDense
GetProp,FarGenu
GetProp_Tip,FarGenu_May
AddProp,PegGenu
AddProp_Tip,PegGenu_May
GetProp_Undo,FarGenu_Note
AddProp_Undo,PegGenu_Note
GetRewardDataByWeight,FarStarveLineSoRevert
Range,Delay
GetRewardDataByWeightAndRange,FarStarveLineSoRevertBusDelay
GetIndexByWeight,FarDodgeSoRevert
GetSpecialGameTypeByWeight,FarBrieflyKickJokeSoRevert
gameInit,AbutDeaf
InitRewardAni,DeafStarveLug
ShowFlyBubble,BindSacAvenue
ShowCardTip,BindKeelMay
Logic,Horse
TipLogic,MayHorse
ShowTipAnimation,BindMaySteamship
HideCardTip,SendKeelMay
Tips,Vole
HideAllTips,SendRotVole
ShowTipMessage,BindMayAfrican
HideTipMessage,SendMayAfrican
UpdateProp,SolderGenu
Use,Bog
UseProp,BogGenu
UseProp_Tip,BogGenu_May
UseProp_Undo,BogGenu_Note
ShowMask,BindVerb
HideMask,SendVerb
ClearScore,HeavyDense
UpdateGold,SolderCast
UpdateCash,SolderNote
UpdateMoveCount,SolderSlumWaist
UpdateGameTime,SolderKickMold
PlayHSlot,HaulHDish
PlayLittleSlot,HaulHiccupDish
ShowUpAreaRewardEffect,BindOfPeckStarveGuinea
ShowUpDeckRewardEffect,BindOfPramStarveGuinea
SetLuckyWheelFill,CudAwaitFaithGene
MagicWandEffect,CarveNeonGuinea
ShowHand,BindHope
HandAnim,HopeTire
ShowInfo,BindBold
InfoMove,BoldSlum
ShowNextBtn,BindOpenGem
isNewUser,ByGunPork
getSlotMultiIndex,HueDishMedalDodge
play,Lion
playSlot,LionDish
spin,Need
pointer,Stinger
pointerAnimation,StingerSteamship
LuckyWheelShowAni,AwaitFaithBindLug
light,Messy
lightStart,MessyBadge
closePanel,StuffSwear
Init_Prop,Deaf_Genu
GetRewardAndSendEventAndClose,FarStarveBusLeafInuitBusFirst
GetEventIndex,FarInuitDodge
SetItemUI,CudAfarUI
Creat,Aptly
CreatItemNumbers,AptlyAfarVestige
Erase,Seize
ErasePoint,SeizePerry
RefreshErasePercent,BalconySeizeEmotive
ScratchShowAnimation,ThriftyBindSteamship
init,Rate
initMulti,RateMedal
slot,None
InitAudioSourceQueue,DeafFlukeIodineClump
Audo,Jean
AddAudioSourceForAudoMgr,PegFlukeIodineHutJeanLeg
GetAudioComponent,FarFlukePrimitive
UnUseAudioComponent,IfBogFlukePrimitive
set,Nss
Bgm,Cut
One,Joy
setBgmCloseOneTime,NssCutFirstJoyMold
Replace,Anatomy
setBgmReplaceOneTime,NssCutAnatomyJoyMold
CheckUnUseAudioComponent,CigarIfBogFlukePrimitive
SetAllEffectVolume,CudRotGuineaInborn
PlayBgBase,HaulHeSnow
PlayEffectBase,HaulGuineaSnow
PlayBg,HaulHe
PlayEffect,HaulGuinea
getVolume,HueInborn
PlayVibrate,HaulBalance
SetBool,CudGray
GetBool,FarGray
SetString,CudStench
GetString,FarStench
SetFloat,CudReach
GetFloat,FarReach
SetInt,CudWit
GetInt,FarWit
Array,Quick
SetIntArray,CudWitQuick
GetIntArray,FarWitQuick
SetFloatArray,CudReachQuick
GetFloatArray,FarReachQuick
SetStringArray,CudStenchQuick
GetStringArray,FarStenchQuick
Vector,Scrape
SetVector,CudScrape
SetVector2,CudScrape2
GetVector,FarScrape
GetVector2,FarScrape2
SetVector3,CudScrape3
GetVector3,FarScrape3
Quaternion,Prominence
SetQuaternion,CudProminence
GetQuaternion,FarProminence
SetDouble,CudEmbryo
GetDouble,FarEmbryo
Do,ID
DoUpdate,DoSolder
Anchor,Fasten
SetAnchor,CudFasten
Pivot,Halve
SetPivot,CudHalve
layout,Abroad
layoutAction,AbroadGossip
AdjustInit,ShroudDeaf
SaveAdjustAdid,ShedShroudYawn
GetAdjustAdid,FarShroudYawn
Status,Indoor
GetAdjustStatus,FarShroudIndoor
InitAdjustData,DeafShroudLine
AddActCount,PegIceWaist
AddAdCount,PegItWaist
LoadAdjustOnAct,RockShroudDyIce
ResetActCount,BurstIceWaist
GetAdjustTime,FarShroudMold
setAdjustAdid,NssShroudYawn
Ads,Eat
InitializeRewardedAds,SimplisticComputerEat
LoadRewardedAd,RockComputerIt
LoadInterstitial,RockExpansionist
Video,Alder
playRewardVideo,LionStarveAlder
playInterstitialAd,LionExpansionistIt
playInterstitial,LionExpansionist
Repeat,Belief
Method,Saving
RepeatMethod,BeliefSaving
NoThanksAddCount,IfCoronaPegWaist
PauseTimeInterstitial,CaputMoldExpansionist
ResumeTimeInterstitial,ReputeMoldExpansionist
UpdateTrialNum,SolderRallyLad
Register,Iroquois
RegisterPlayCallback,IroquoisHaulVariance
AfterAdPlaySuccess,TulipItHaulDepress
GetTotalAdNum,FarEndowItLad
Pin,Bat
Market,Wholly
OpenAPPinMarket,PlusAPBatWholly
Country,Defense
getCountry,HueDefense
GetConfigData,FarAdjoinLine
Loaction,Baseball
GetLoactionData,FarBaseballLine
SetConfigData,CudAdjoinLine
GameReady,KickTally
NetWorkTimeOut,ToeKeelMoldRed
SendAdjustAdid,LeafShroudYawn
CheckAdjustNetwork,CigarShroudAnymore
GetUserInfo,FarPorkBold
ReGetUserInfo,HeFarPorkBold
autoMessage,SeepAfrican
Para,Sure
SendNoParaEvent,LeafIfSureInuit
send,Rift
sendGameProgress,RiftKickManeuver
SendEvent,LeafInuit
SendPost,LeafWhim
endRequest,TanPortend
Http,Tine
HttpGet,TineFar
HttpPost,TineWhim
HttpPostJson,TineWhimAmid
ProcessRequest,HemlockPortend
CreateWebRequest,DugoutIonPortend
Cleanup,Manager
CleanupRequest,ManagerPortend
Cancel,Genius
CancelRequest,GeniusPortend
Requests,Broadway
CancelAllRequests,GeniusRotBroadway
SetTargetImage,CudLondonFifth
ShowGuide,BindInfer
WorldToCanvasPos,NicheBeGrottoSum
HandAnimation,HopeSteamship
RecycleAll,ConcertRot
Destroy,Texture
CreateObjectPool,DugoutPepperKind
GetGameObject,FarKickPepper
RecycleGameObject,ConcertKickPepper
Query,Ahead
QueryPool,QueryKind
GetInstance,FarBefriend
autoCloseToast,SeepFirstGroom
ShowToast,BindGroom
setContentLayout,NssTotallyPotato
IsApple,UpMound
Online,Lagoon
CheckOnlineData,CigarLagoonLine
GetDistance,FarEvidence
Editor,Schist
IsEditor,UpSchist
Portrait,Civility
IsPortrait,UpCivility
LocalPoint,FramePerry
Screen,Plight
ScreenPoint,PlightPerry
LocalPoint2ScreenPoint,FramePerry2PlightPerry
ScreenPoint2LocalPoint,PlightPerry2FramePerry
Of,On
GetWorldPositionOfRectTransform,FarNicheCitationOfSoulSkeptical
GetTimestamp,FarCollision
Format,Exceed
DateTimeFormat,WardMoldExceed
Seconds,Carving
SecondsToDateTime,CarvingBeWardMold
SecondsFormat,CarvingExceed
SecondsFormat2,CarvingExceed2
DoubleToStr,EmbryoBeSow
GetWeightRandom,FarRevertSaline
GetWeightRandomIndex,FarRevertSalineDodge
In,It
Chance,Morris
InChance,InMorris
Shuffle,Garbage
ShuffleArray,GarbageQuick
Render,Pearly
InitEndTime,DeafRidMold
RefreshClock,BalconyDiver
ClaimRewards,WrongBritain
RenderItem,PearlyAfar
Unlock,Lordly
UnlockItem,UnlockAfar
ClaimReward,WrongStarve
InitList,DeafTrip
RefreshList,BalconyTrip
MoveAnimation,SlumSteamship
Cb,It
CollectAnimationCb,DynamicSteamshipCb
InitProgress,DeafManeuver
RenderData,PearlyLine
StartCountdown,BadgeFoodstuff
ShowCollectAnimation,BindDynamicSteamship
InitItem,DeafAfar
AddAnimation,PegSteamship
InitRewards,DeafBritain
HideRewardCanvas,SendStarveGrotto
InitRankList,DeafLoveTrip
RankMoveAnimation,LoveSlumSteamship
UpdateActivityState,SolderColonizeWidow
RenderList,PearlyTrip
ShowCounterText,BindShudderMoss
ShowPauseTimeInterstitial,BindCaputMoldExpansionist
GetMessage,FarAfrican
Sub,Sew
CreateSubActivity,DugoutSewColonize
Serialize,Represent
GetSerializeData,FarRepresentLine
GetActivityById,FarColonizeSoAt
Activities,Newsworthy
GetActivities,FarNewsworthy
SetSetting,CudGradual
GetCurrentIndex,FarVoyagerDodge
GetAllSetting,FarRotGradual
GetRewardByIndex,FarStarveSoDodge
SetData,CudLine
GetData,FarLine
IsEffect,UpGuinea
GetRewards,FarBritain
GetBoxDataById,FarTugLineSoAt
GetSettingById,FarGradualSoAt
Calc,Cash
CalcCurrentHealth,CalcVoyagerWander
GetCurrentHealth,FarVoyagerWander
Unlimited,Momentous
IsUnlimitedState,UpMomentousWidow
UnlimitedCountdown,MomentousFoodstuff
Full,Soft
IsFull,UpSoft
UseHealth,BogWander
AddHealth,PegWander
AddUnlimitedTime,PegMomentousMold
Enough,People
IsHealthEnough,UpWanderPeople
StartLevel,BadgeDodge
Victory,Untwist
LevelVictory,DodgeUntwist
LevelFail,DodgeGobi
InitUserNames,DeafPorkProse
GetRankById,FarLoveSoAt
AddItemValue,PegAfarDodge
AddItemGroup,PegAfarPerry
SetItemValue,CudAfarDodge
GetItemById,FarAfarSoAt
GetItemGroupById,FarAfarPerrySoAt
Ids,Ear
GetItemGroupByIds,FarAfarPerrySoEar
GetShopList,FarSodaTrip
GetShopById,FarSodaSoAt
Distribute,Burdensome
DistributeRewards,BurdensomeBritain
Skins,Slick
GetAllSkinsOfType,FarRotSlickOnJoke
GetSkinsByType,FarSlickSoJoke
UnlockSkin,LordlyMoat
ActiveSkin,RefuteMoat
Exp,Set
UnlockByExp,LordlySoSet
Calculate,Basically
CalculateState,BasicallyWidow
ChangeActivityState,UranusColonizeWidow
Period,Figure
StartNewPeriod,BadgeGunFigure
AttendActivity,LordlyColonize
Settlement,Fertilizer
NeedShow,TeleBind
SetSettingData,CudGradualLine
GetBoxLevelDataByLv,FarTugDodgeLineSoMy
GetBoxLevelDataFromLv,FarTugDodgeLineDukeMy
AddCurrentValue,PegVoyagerDodge
CalculateLv,BasicallyMy
AddValue,PegDodge
SetValue,CudDodge
AddStartTimes,PegBadgeBrook
AddVictoryTimes,PegUntwistBrook
SetRewards,CudBritain
CalculateRank,BasicallyLove
GetRewardByRanking,FarStarveSoLivable
ClearData,HeavyLine
AddNum,PegLad
CanBuy,TheHot
SetActive,CudRefute
SaveData,ShedLine
HandleInterval,CrayonDemolish
GetAppSettingMaxNumber,FarGutGradualGelFormal
Analysis,Radiator
InitAndAnalysisJson,DeafBusRadiatorAmid
Msg,Oat
Listener,Mongolia
AddMsgListener,PegOatMongolia
RemoveMsgListener,SteadyOatMongolia
ClearAllMsgListener,HeavyRotOatMongolia
SendMessage,LeafAfrican
Asset,Ensue
LoadAsset,RockEnsue
SetMaskWindow,CudVerbFluffy
HideMaskWindow,SendVerbFluffy
CancelMaskWindow,GeniusVerbFluffy
The,Sow
Child,Dream
FindTheChildNode,SealTheDreamWhig
GetTheChildNodeComponentScripts,FarSowDreamWhigPrimitiveFlatter
AddChildNodeComponent,PegDreamWhigPrimitive
AddChildNodeToParentNode,PegDreamWhigBeQuasarWhig
ShowText,BindMoss
InitLauguageCache,DeafAnalysisDraft
FindChildAddComponent,SealDreamPegPrimitive
Freeze,Radius
Rigister,Sentence
RigisterButtonObjectEvent,SentenceGibbonPepperInuit
OpenUIForm,PlusUIMode
CloseUIForm,FirstUIMode
Receive,Neutron
ReceiveMessage,NeutronAfrican
AddPanel,PegSwear
SubPanel,SewSwear
Loading,Currier
InitRootCanvasLoading,DeafRootGrottoCurrier
ShowUIForms,BindUIPlace
Or,To
Return,Tavern
CloseOrReturnUIForms,FirstOrTavernUIPlace
ShowNextPopUp,BindOpenEkeOf
ClearWaitUIForms,HeavyMimeUIPlace
Catch,Salty
LoadFormsToALLUIFormsCatch,RockPlaceBeALLUIPlaceSalty
LoadUIForm,RockUIMode
EnterUIFormsCache,CraftUIPlaceDraft
ExitUIFormsCache,FishUIPlaceDraft
Formst,Assign
Other,Rayon
EnterUIFormstToCacheHideOther,CraftUIAssignBeDraftSendRayon
EnterUIFormsCacheWaitClose,CraftUIPlaceDraftMimeFirst
ExitUIFormsFromCacheAndShowOther,FishUIPlaceDukeDraftBusBindRayon
Push,Cute
PushUIForms,CuteUIPlace
PopUIForms,EkeUIPlace
InitUIFormsPathsData,DeafUIPlaceFieldLine
InitCamera,DeafDecade
ClearStackArray,HeavyRobinQuick
GetCurrentFormStack,FarVoyagerModeRobin
GetPanelByName,FarSwearSoStew
Opening,Prodigy
GetOpeningPanels,FarProdigyDiffer
ChangeShowState,UranusBindWidow
OpenNext,PlusOpen
PlayCollectAnimation,HaulDynamicSteamship
Clean,Array
CleanParent,ArrayQuasar
StartAnimation,BadgeSteamship
CreateItemObj,DugoutAfarBur
GetCollectionData,FarConsultantLine
RegisterCollectionComponent,IroquoisConsultantPrimitive
Insert,Attain
InsertSequence,AttainInstinct
OpenCollectEffectPanel,PlusDynamicGuineaSwear
RefreshLayout,BalconyPotato
Apply,Trail
ApplySafeArea,TrailWeltPeck
RefreshProgress,BalconyManeuver
OpenTab,PlusZoo
ActiveBgAnimation,RefuteHeSteamship
RegisterCallback,IroquoisVariance
SetActiveUI,CudRefuteUI
pagechange,Woodpecker
SetPageIndex,CudTaleDodge
UpdateItem,SolderAfar
PopItem,EkeAfar
PushItem,CuteAfar
AddItem,PegAfar
Controller,Revolution
AnimationController,SteamshipRevolution
CustomPrint,PotionAhead
Dictionaries,Unacceptable
MergeDictionaries,MoistUnacceptable
System,Farmer
GetSystemData,FarFarmerLine
Outline,Mistake
MultiOutline,MedalMistake
NotificationManager,ConstructionRancher
TextOutline,MossMistake
TimeManager,MoldRancher
Klondike_Manager,Freezing_Rancher
CardData,KeelLine
KlondikeGameState,FreezingKickWidow
CardUIState,KeelUIWidow
GameDataManager,KickLineRancher
MainManager,LimyRancher
FlyBubbleRewardPanel,SacAvenueStarveSwear
GamePanel,KickSwear
GuidePanel,InferSwear
Complete,Skeletal
LevelCompletePanel,DodgeSkeletalSwear
LoadingPanel,CurrierSwear
LuckyWheelPanel,AwaitFaithSwear
Us,Be
RateUsPanel,MaskUsSwear
RewardPanel,StarveSwear
ScratchPanel,ThriftySwear
ScratchCardItemData,ThriftyKeelAfarLine
SettingPanel,GradualSwear
Model,Lvory
AudioModel,FlukeLvory
AudioSourceQueue,FlukeIodineClump
MusicMgr,LeafyLeg
Resources,Expansion
MusicResourcesMgr,LeafyExpansionLeg
MusicType,LeafyJoke
Common,Unfold
CommonConfig,UnfoldAdjoin
SaveDataManager,ShedLineRancher
Animator,Tropical
FrameAnimator,ScrewTropical
Archor,Letter
Tool,Taut
ArchorTool,LetterTool
AutoLayout,TautPotato
AdjustInitManager,ShroudDeafRancher
ADManager,ADRancher
CustomData,PotionLine
Ad_CustomData,It_PotionLine
RateUsManager,MaskBeRancher
MessageCenterLogic,AfricanExtendHorse
MessageData,AfricanLine
CConfig,CAdjoin
NetInfoMgr,ToeBoldLeg
Script,Remove
PostEventScript,WhimInuitRemove
NetWorkGetObject,ToeKeelFarPepper
NetWorkManager,ToeKeelRancher
Task,Wood
RequestTask,PortendWood
NetWorkPostObject,ToeKeelWhimPepper
Guidance,Populate
GuidanceEventPenetrate,PopulateInuitOperation
NewUserGuidePanel,GunPorkInferSwear
RectGuideMask,SoulInferVerb
ObjectPool,PepperKind
ObjectPoolManager,PepperKindRancher
Mono,Tilt
Singleton,Digestion
MonoSingleton,TiltDigestion
ToastManager,GroomRancher
View,Oval
ScrollViewContentLayout,QuasarOvalTotallyPotato
Util,Gate
CommonUtil,UnfoldGate
DateUtil,WardGate
NumberUtil,FormalGate
RandomUtil,SalineGate
StringUtil,StenchGate
RewardItemUI,StarveAfarUI
TimeUI,MoldUI
DailyGiftPanel,ScoreWhipSwear
GiftItemUI,WhipAfarUI
EndlessItemUI,QuitterAfarUI
EndlessTreasurePanel,QuitterClearingSwear
GoldBoxCollectItemUI,CastTugDynamicAfarUI
HealthUI,WanderUI
Home,Wool
HomePanel,WoolSwear
ItemBarUI,AfarManUI
Simple,Impend
SimpleCollectItemUI,ImpendDynamicAfarUI
RankItemUI,LoveAfarUI
RankStarPanel,LoveFordSwear
RemoveAdPanel,SteadyItSwear
ShopItemUI,SodaAfarUI
ShopPanel,SodaSwear
ShopRewardItemUI,SodaStarveAfarUI
SkinPanel,MoatSwear
AdjustTestPanel,ShroudLifeSwear
AdManagerTestPanel,ItRancherLifeSwear
Error,Sense
ErrorCodeMessage,SenseReadAfrican
Ctrl,Peak
ActivityCtrl,ColonizePeak
ActivityDailyGiftCtrl,ColonizeScoreWhipPeak
ActivityEndlessTreasureCtrl,ColonizeQuitterClearingPeak
ActivityRemoveAdCtrl,ColonizeSteadyItPeak
ExpBoxCtrl,SetTugPeak
GameSettingCtrl,KickGradualPeak
